Epoch 001/80 | Loss: 3.2270 | SupCon: 3.0855 | CE: 3.4897 | Train Acc: 1.04% | Val Loss: 3.4710 | Val Acc: 1.25% | LR: 0.0004998
Epoch 002/80 | Loss: 3.1094 | SupCon: 2.8972 | CE: 3.5035 | Train Acc: 4.17% | Val Loss: 3.4670 | Val Acc: 1.25% | LR: 0.0004992
Epoch 003/80 | Loss: 3.1552 | SupCon: 2.9796 | CE: 3.4813 | Train Acc: 8.33% | Val Loss: 3.4693 | Val Acc: 1.25% | LR: 0.0004983
Epoch 004/80 | Loss: 3.0951 | SupCon: 2.8781 | CE: 3.4982 | Train Acc: 6.25% | Val Loss: 3.4718 | Val Acc: 1.25% | LR: 0.0004969
Epoch 005/80 | Loss: 3.0021 | SupCon: 2.7496 | CE: 3.4711 | Train Acc: 8.33% | Val Loss: 3.4730 | Val Acc: 1.25% | LR: 0.0004952
Epoch 006/80 | Loss: 3.0743 | SupCon: 2.8474 | CE: 3.4958 | Train Acc: 4.17% | Val Loss: 3.4692 | Val Acc: 1.25% | LR: 0.0004931
Epoch 007/80 | Loss: 3.1206 | SupCon: 2.9196 | CE: 3.4940 | Train Acc: 5.21% | Val Loss: 3.4680 | Val Acc: 1.56% | LR: 0.0004906
Epoch 008/80 | Loss: 3.0469 | SupCon: 2.8062 | CE: 3.4938 | Train Acc: 3.12% | Val Loss: 3.4672 | Val Acc: 1.56% | LR: 0.0004878
Epoch 009/80 | Loss: 2.8884 | SupCon: 2.5730 | CE: 3.4741 | Train Acc: 4.17% | Val Loss: 3.4671 | Val Acc: 0.93% | LR: 0.0004846
Epoch 010/80 | Loss: 3.1523 | SupCon: 2.9771 | CE: 3.4778 | Train Acc: 4.17% | Val Loss: 3.4709 | Val Acc: 1.25% | LR: 0.0004810
Epoch 011/80 | Loss: 2.9835 | SupCon: 2.7267 | CE: 3.4602 | Train Acc: 8.33% | Val Loss: 3.4678 | Val Acc: 1.25% | LR: 0.0004771
Epoch 012/80 | Loss: 3.0635 | SupCon: 2.8320 | CE: 3.4934 | Train Acc: 0.00% | Val Loss: 3.4615 | Val Acc: 1.25% | LR: 0.0004728
Epoch 013/80 | Loss: 2.9632 | SupCon: 2.6922 | CE: 3.4664 | Train Acc: 4.17% | Val Loss: 3.4476 | Val Acc: 1.25% | LR: 0.0004682
Epoch 014/80 | Loss: 3.0649 | SupCon: 2.8360 | CE: 3.4898 | Train Acc: 4.17% | Val Loss: 3.4448 | Val Acc: 1.25% | LR: 0.0004632
Epoch 015/80 | Loss: 3.0867 | SupCon: 2.8698 | CE: 3.4895 | Train Acc: 2.08% | Val Loss: 3.4488 | Val Acc: 1.25% | LR: 0.0004580
Epoch 016/80 | Loss: 3.0207 | SupCon: 2.7837 | CE: 3.4608 | Train Acc: 4.17% | Val Loss: 3.4459 | Val Acc: 1.25% | LR: 0.0004523
Epoch 017/80 | Loss: 3.0788 | SupCon: 2.8593 | CE: 3.4865 | Train Acc: 4.17% | Val Loss: 3.4428 | Val Acc: 1.87% | LR: 0.0004464
Epoch 018/80 | Loss: 2.8983 | SupCon: 2.5845 | CE: 3.4809 | Train Acc: 3.12% | Val Loss: 3.4350 | Val Acc: 1.56% | LR: 0.0004402
Epoch 019/80 | Loss: 2.9266 | SupCon: 2.6245 | CE: 3.4875 | Train Acc: 8.33% | Val Loss: 3.4289 | Val Acc: 1.87% | LR: 0.0004337
Epoch 020/80 | Loss: 3.0204 | SupCon: 2.7850 | CE: 3.4577 | Train Acc: 12.50% | Val Loss: 3.4238 | Val Acc: 2.18% | LR: 0.0004269
Epoch 021/80 | Loss: 2.9154 | SupCon: 2.6207 | CE: 3.4628 | Train Acc: 7.29% | Val Loss: 3.4238 | Val Acc: 1.87% | LR: 0.0004199
Epoch 022/80 | Loss: 2.9698 | SupCon: 2.7040 | CE: 3.4636 | Train Acc: 8.33% | Val Loss: 3.4243 | Val Acc: 3.12% | LR: 0.0004125
Epoch 023/80 | Loss: 3.0567 | SupCon: 2.8377 | CE: 3.4633 | Train Acc: 4.17% | Val Loss: 3.4235 | Val Acc: 1.87% | LR: 0.0004050
Epoch 024/80 | Loss: 2.9570 | SupCon: 2.6869 | CE: 3.4586 | Train Acc: 4.17% | Val Loss: 3.4251 | Val Acc: 1.87% | LR: 0.0003972
Epoch 025/80 | Loss: 3.0229 | SupCon: 2.8009 | CE: 3.4353 | Train Acc: 10.42% | Val Loss: 3.4233 | Val Acc: 1.56% | LR: 0.0003891
Epoch 026/80 | Loss: 2.9605 | SupCon: 2.6853 | CE: 3.4716 | Train Acc: 7.29% | Val Loss: 3.4181 | Val Acc: 1.25% | LR: 0.0003809
Epoch 027/80 | Loss: 2.9589 | SupCon: 2.6746 | CE: 3.4869 | Train Acc: 9.38% | Val Loss: 3.4228 | Val Acc: 1.56% | LR: 0.0003724
Epoch 028/80 | Loss: 2.9775 | SupCon: 2.7190 | CE: 3.4575 | Train Acc: 4.17% | Val Loss: 3.4333 | Val Acc: 2.18% | LR: 0.0003638
Epoch 029/80 | Loss: 2.9134 | SupCon: 2.6182 | CE: 3.4617 | Train Acc: 5.21% | Val Loss: 3.4320 | Val Acc: 2.80% | LR: 0.0003550
Epoch 030/80 | Loss: 2.8690 | SupCon: 2.5660 | CE: 3.4317 | Train Acc: 7.29% | Val Loss: 3.4151 | Val Acc: 1.25% | LR: 0.0003460
Epoch 031/80 | Loss: 2.9258 | SupCon: 2.6384 | CE: 3.4596 | Train Acc: 4.17% | Val Loss: 3.4150 | Val Acc: 1.25% | LR: 0.0003369
Epoch 032/80 | Loss: 2.9418 | SupCon: 2.6624 | CE: 3.4606 | Train Acc: 4.17% | Val Loss: 3.4138 | Val Acc: 1.25% | LR: 0.0003276
Epoch 033/80 | Loss: 3.0058 | SupCon: 2.7654 | CE: 3.4523 | Train Acc: 9.38% | Val Loss: 3.4215 | Val Acc: 1.25% | LR: 0.0003182
Epoch 034/80 | Loss: 2.8707 | SupCon: 2.5548 | CE: 3.4573 | Train Acc: 6.25% | Val Loss: 3.4188 | Val Acc: 1.25% | LR: 0.0003087
Epoch 035/80 | Loss: 2.9085 | SupCon: 2.6065 | CE: 3.4693 | Train Acc: 3.12% | Val Loss: 3.4156 | Val Acc: 4.36% | LR: 0.0002992
Epoch 036/80 | Loss: 2.9055 | SupCon: 2.6129 | CE: 3.4491 | Train Acc: 3.12% | Val Loss: 3.4272 | Val Acc: 3.74% | LR: 0.0002895
Epoch 037/80 | Loss: 2.7626 | SupCon: 2.3942 | CE: 3.4469 | Train Acc: 8.33% | Val Loss: 3.4205 | Val Acc: 11.84% | LR: 0.0002798
