VOXSPLIT V8 TRAINING HISTORY
============================

Epoch 001/80 | Loss: 2.9060 | SupCon: 2.6929 | CE: 3.4032 | Acc: 4.17% | LR: 0.0002999
Epoch 002/80 | Loss: 2.8936 | SupCon: 2.6722 | CE: 3.4103 | Acc: 4.17% | LR: 0.0002995
Epoch 003/80 | Loss: 2.8653 | SupCon: 2.6340 | CE: 3.4049 | Acc: 4.17% | LR: 0.0002990
Epoch 004/80 | Loss: 2.8075 | SupCon: 2.5576 | CE: 3.3907 | Acc: 4.17% | LR: 0.0002982
Epoch 005/80 | Loss: 2.7588 | SupCon: 2.4871 | CE: 3.3925 | Acc: 8.33% | LR: 0.0002971
Epoch 006/80 | Loss: 2.6783 | SupCon: 2.3652 | CE: 3.4089 | Acc: 8.33% | LR: 0.0002959
Epoch 007/80 | Loss: 2.8954 | SupCon: 2.6785 | CE: 3.4014 | Acc: 8.33% | LR: 0.0002944
Epoch 008/80 | Loss: 2.7238 | SupCon: 2.4301 | CE: 3.4090 | Acc: 0.00% | LR: 0.0002927
Epoch 009/80 | Loss: 2.7119 | SupCon: 2.4160 | CE: 3.4022 | Acc: 0.00% | LR: 0.0002907
Epoch 010/80 | Loss: 2.7451 | SupCon: 2.4650 | CE: 3.3988 | Acc: 6.25% | LR: 0.0002886
Epoch 011/80 | Loss: 2.7904 | SupCon: 2.5279 | CE: 3.4028 | Acc: 6.25% | LR: 0.0002862
Epoch 012/80 | Loss: 2.8717 | SupCon: 2.6475 | CE: 3.3950 | Acc: 4.17% | LR: 0.0002837
Epoch 013/80 | Loss: 2.7114 | SupCon: 2.4179 | CE: 3.3963 | Acc: 6.25% | LR: 0.0002809
Epoch 014/80 | Loss: 2.4431 | SupCon: 2.0332 | CE: 3.3996 | Acc: 4.17% | LR: 0.0002779
Epoch 015/80 | Loss: 2.6416 | SupCon: 2.3160 | CE: 3.4012 | Acc: 4.17% | LR: 0.0002747
Epoch 016/80 | Loss: 2.5007 | SupCon: 2.1198 | CE: 3.3896 | Acc: 4.17% | LR: 0.0002714
Epoch 017/80 | Loss: 2.5336 | SupCon: 2.1640 | CE: 3.3959 | Acc: 2.08% | LR: 0.0002678
Epoch 018/80 | Loss: 2.4817 | SupCon: 2.0925 | CE: 3.3897 | Acc: 6.25% | LR: 0.0002641
Epoch 019/80 | Loss: 3.0109 | SupCon: 2.8535 | CE: 3.3780 | Acc: 6.25% | LR: 0.0002601
Epoch 020/80 | Loss: 2.3829 | SupCon: 1.9504 | CE: 3.3923 | Acc: 6.25% | LR: 0.0002561
Epoch 021/80 | Loss: 2.6185 | SupCon: 2.2873 | CE: 3.3912 | Acc: 4.17% | LR: 0.0002518
Epoch 022/80 | Loss: 2.8121 | SupCon: 2.5620 | CE: 3.3958 | Acc: 0.00% | LR: 0.0002474
Epoch 023/80 | Loss: 2.5205 | SupCon: 2.1521 | CE: 3.3802 | Acc: 6.25% | LR: 0.0002429
Epoch 024/80 | Loss: 2.5816 | SupCon: 2.2418 | CE: 3.3746 | Acc: 6.25% | LR: 0.0002382
Epoch 025/80 | Loss: 2.4802 | SupCon: 2.0888 | CE: 3.3936 | Acc: 0.00% | LR: 0.0002333
Epoch 026/80 | Loss: 2.8296 | SupCon: 2.5925 | CE: 3.3828 | Acc: 6.25% | LR: 0.0002284
Epoch 027/80 | Loss: 2.8670 | SupCon: 2.6468 | CE: 3.3806 | Acc: 8.33% | LR: 0.0002233
Epoch 028/80 | Loss: 2.5845 | SupCon: 2.2405 | CE: 3.3870 | Acc: 4.17% | LR: 0.0002181
Epoch 029/80 | Loss: 2.5944 | SupCon: 2.2544 | CE: 3.3877 | Acc: 0.00% | LR: 0.0002128
Epoch 030/80 | Loss: 2.5096 | SupCon: 2.1337 | CE: 3.3870 | Acc: 0.00% | LR: 0.0002074
Epoch 031/80 | Loss: 2.5606 | SupCon: 2.2043 | CE: 3.3921 | Acc: 4.17% | LR: 0.0002019
Epoch 032/80 | Loss: 2.6210 | SupCon: 2.2988 | CE: 3.3727 | Acc: 6.25% | LR: 0.0001964
Epoch 033/80 | Loss: 2.4630 | SupCon: 2.0701 | CE: 3.3797 | Acc: 4.17% | LR: 0.0001907
Epoch 034/80 | Loss: 2.4266 | SupCon: 2.0223 | CE: 3.3700 | Acc: 8.33% | LR: 0.0001850
Epoch 035/80 | Loss: 2.5419 | SupCon: 2.1873 | CE: 3.3693 | Acc: 10.42% | LR: 0.0001793
Epoch 036/80 | Loss: 2.5662 | SupCon: 2.2171 | CE: 3.3806 | Acc: 4.17% | LR: 0.0001735
Epoch 037/80 | Loss: 2.5138 | SupCon: 2.1502 | CE: 3.3620 | Acc: 4.17% | LR: 0.0001676
Epoch 038/80 | Loss: 2.5314 | SupCon: 2.1716 | CE: 3.3710 | Acc: 6.25% | LR: 0.0001618
Epoch 039/80 | Loss: 2.5803 | SupCon: 2.2374 | CE: 3.3806 | Acc: 8.33% | LR: 0.0001559
Epoch 040/80 | Loss: 2.3828 | SupCon: 1.9585 | CE: 3.3726 | Acc: 2.08% | LR: 0.0001500
Epoch 041/80 | Loss: 2.5449 | SupCon: 2.1911 | CE: 3.3703 | Acc: 8.33% | LR: 0.0001441
Epoch 042/80 | Loss: 2.5268 | SupCon: 2.1678 | CE: 3.3645 | Acc: 6.25% | LR: 0.0001382
Epoch 043/80 | Loss: 2.3689 | SupCon: 1.9423 | CE: 3.3645 | Acc: 14.58% | LR: 0.0001324
Epoch 044/80 | Loss: 2.5634 | SupCon: 2.2210 | CE: 3.3625 | Acc: 8.33% | LR: 0.0001265
Epoch 045/80 | Loss: 2.4181 | SupCon: 2.0168 | CE: 3.3543 | Acc: 6.25% | LR: 0.0001207
Epoch 046/80 | Loss: 2.3227 | SupCon: 1.8801 | CE: 3.3553 | Acc: 6.25% | LR: 0.0001150
Epoch 047/80 | Loss: 2.6220 | SupCon: 2.3084 | CE: 3.3538 | Acc: 14.58% | LR: 0.0001093
Epoch 048/80 | Loss: 2.3932 | SupCon: 1.9812 | CE: 3.3544 | Acc: 12.50% | LR: 0.0001036
Epoch 049/80 | Loss: 2.4278 | SupCon: 2.0303 | CE: 3.3555 | Acc: 10.42% | LR: 0.0000981
Epoch 050/80 | Loss: 2.4961 | SupCon: 2.1233 | CE: 3.3658 | Acc: 4.17% | LR: 0.0000926
Epoch 051/80 | Loss: 2.7232 | SupCon: 2.4496 | CE: 3.3616 | Acc: 6.25% | LR: 0.0000872
Epoch 052/80 | Loss: 2.4004 | SupCon: 1.9864 | CE: 3.3662 | Acc: 6.25% | LR: 0.0000819
Epoch 053/80 | Loss: 2.4373 | SupCon: 2.0411 | CE: 3.3620 | Acc: 8.33% | LR: 0.0000767
Epoch 054/80 | Loss: 2.6238 | SupCon: 2.3030 | CE: 3.3723 | Acc: 8.33% | LR: 0.0000716
Epoch 055/80 | Loss: 2.4521 | SupCon: 2.0628 | CE: 3.3603 | Acc: 6.25% | LR: 0.0000667
Epoch 056/80 | Loss: 2.2787 | SupCon: 1.8134 | CE: 3.3643 | Acc: 10.42% | LR: 0.0000618
Epoch 057/80 | Loss: 2.3445 | SupCon: 1.9132 | CE: 3.3510 | Acc: 10.42% | LR: 0.0000571
Epoch 058/80 | Loss: 2.4742 | SupCon: 2.0965 | CE: 3.3555 | Acc: 6.25% | LR: 0.0000526
Epoch 059/80 | Loss: 2.5701 | SupCon: 2.2359 | CE: 3.3500 | Acc: 12.50% | LR: 0.0000482
Epoch 060/80 | Loss: 2.2135 | SupCon: 1.7283 | CE: 3.3456 | Acc: 8.33% | LR: 0.0000439
Epoch 061/80 | Loss: 2.3657 | SupCon: 1.9410 | CE: 3.3567 | Acc: 8.33% | LR: 0.0000399
Epoch 062/80 | Loss: 2.3798 | SupCon: 1.9574 | CE: 3.3654 | Acc: 8.33% | LR: 0.0000359
Epoch 063/80 | Loss: 2.3676 | SupCon: 1.9497 | CE: 3.3427 | Acc: 8.33% | LR: 0.0000322
Epoch 064/80 | Loss: 2.4018 | SupCon: 1.9937 | CE: 3.3539 | Acc: 8.33% | LR: 0.0000286
Epoch 065/80 | Loss: 2.3770 | SupCon: 1.9544 | CE: 3.3630 | Acc: 4.17% | LR: 0.0000253
Epoch 066/80 | Loss: 2.1489 | SupCon: 1.6313 | CE: 3.3565 | Acc: 8.33% | LR: 0.0000221
Epoch 067/80 | Loss: 2.4108 | SupCon: 2.0048 | CE: 3.3581 | Acc: 10.42% | LR: 0.0000191
Epoch 068/80 | Loss: 2.6480 | SupCon: 2.3434 | CE: 3.3586 | Acc: 4.17% | LR: 0.0000163
Epoch 069/80 | Loss: 2.3234 | SupCon: 1.8778 | CE: 3.3630 | Acc: 4.17% | LR: 0.0000138
Epoch 070/80 | Loss: 2.6843 | SupCon: 2.3931 | CE: 3.3638 | Acc: 4.17% | LR: 0.0000114
Epoch 071/80 | Loss: 2.3721 | SupCon: 1.9463 | CE: 3.3657 | Acc: 8.33% | LR: 0.0000093
Epoch 072/80 | Loss: 2.2712 | SupCon: 1.8084 | CE: 3.3510 | Acc: 8.33% | LR: 0.0000073
Epoch 073/80 | Loss: 2.2911 | SupCon: 1.8341 | CE: 3.3575 | Acc: 4.17% | LR: 0.0000056
Epoch 074/80 | Loss: 2.5822 | SupCon: 2.2514 | CE: 3.3540 | Acc: 6.25% | LR: 0.0000041
Epoch 075/80 | Loss: 2.6068 | SupCon: 2.2853 | CE: 3.3569 | Acc: 8.33% | LR: 0.0000029
Epoch 076/80 | Loss: 2.2868 | SupCon: 1.8186 | CE: 3.3794 | Acc: 6.25% | LR: 0.0000018
